mac_address,rssi
7C:87:CE:49:2B:82,-37
7C:87:CE:49:2B:82,-46
7C:87:CE:49:2B:82,-37
7C:87:CE:49:2B:82,-38
7C:87:CE:49:2B:82,-38
7C:87:CE:49:2B:82,-38
7C:87:CE:49:2B:82,-45
7C:87:CE:49:2B:82,-38
7C:87:CE:49:2B:82,-38
7C:87:CE:49:2B:82,-38
7C:87:CE:49:2B:82,-37
7C:87:CE:49:2B:82,-38
7C:87:CE:49:2B:82,-44
7C:87:CE:49:2B:82,-38
7C:87:CE:49:2B:82,-38
7C:87:CE:49:2B:82,-38
7C:87:CE:49:2B:82,-38
7C:87:CE:49:2B:82,-36
7C:87:CE:49:2B:82,-38
7C:87:CE:49:2B:82,-36
7C:87:CE:49:2B:82,-43
7C:87:CE:49:2B:82,-38
7C:87:CE:49:2B:82,-38
